date,open,high,low,close,volume,pct,ma5,ma10,ma20,ma60,ma120,ma250
1991-10-16,198.51,198.57,196.61,198.57,956200,0.9968974111184581,194.742,190.30900000000003,187.4755,172.219,147.24916666666664,
1991-10-17,200.5,200.51,198.57,200.51,607700,0.9769854459384497,196.642,192.112,188.0685,173.23766666666668,147.96383333333333,
1991-10-18,202.5,202.51,200.51,202.51,296800,0.9974564859607904,198.574,193.93400000000003,188.8125,174.26816666666667,148.70191666666668,
1991-10-21,204.53,204.53,202.51,204.53,353700,0.9974816058466285,200.546,195.787,189.695,175.3405,149.4633333333333,
1991-10-22,206.06,206.53,204.53,206.53,212800,0.9778516599031839,202.52999999999997,197.691,190.7255,176.43833333333333,150.24766666666667,
1991-10-23,208.06,208.25,206.53,208.25,262300,0.8328087929114325,204.46599999999998,199.60399999999998,191.888,177.55049999999997,151.053,
1991-10-24,210.2,210.2,208.25,210.07,1935700,0.8739495798319341,206.378,201.51,193.1875,178.6785,151.88008333333335,
1991-10-25,210.34,211.97,209.71,211.86,3265000,0.8520969200742634,208.248,203.411,194.621,179.81283333333332,152.7286666666667,
1991-10-28,213.5,213.98,211.86,213.98,321700,1.0006608137449247,210.138,205.342,196.20350000000002,180.9585,153.60108333333335,
1991-10-29,215.63,215.78,213.98,215.78,269700,0.8412001121600232,211.988,207.25900000000001,197.9015,182.1101666666667,154.49483333333333,
1991-10-30,216.37,216.43,215.78,216.43,238000,0.30123273704698583,213.62400000000002,209.045,199.677,183.24816666666666,155.39975,
1991-10-31,218.59,218.6,216.43,218.6,392900,1.0026336459825202,215.33,210.85399999999998,201.483,184.39783333333335,156.32816666666665,
